team,elo_rating,match_count,provisional
Spain,2217.0,782,False
Argentina,2187.1,1067,False
France,2124.2,934,False
England,2084.1,1088,False
Brazil,2065.4,1058,False
Colombia,2059.3,637,False
Portugal,2040.4,693,False
Ecuador,2024.5,590,False
Netherlands,2005.6,878,False
Germany,1996.7,1030,False
Japan,1994.0,790,False
Morocco,1985.8,616,False
Mexico,1980.4,1003,False
Uruguay,1975.7,970,False
Norway,1971.2,871,False
Croatia,1967.7,395,False
Türkiye,1963.7,641,False
Switzerland,1957.8,883,False
Belgium,1951.1,852,False
Senegal,1919.9,637,False
Paraguay,1918.8,783,False
Australia,1903.3,580,False
Iran,1903.3,612,False
Canada,1899.0,469,False
Austria,1890.1,860,False
South Korea,1880.8,1007,False
Algeria,1873.5,616,False
Panama,1859.6,538,False
United States,1835.3,789,False
Scotland,1830.0,850,False
Uzbekistan,1829.3,353,False
Côte d'Ivoire,1815.2,636,False
Egypt,1814.5,755,False
Czechia,1802.2,360,False
Jordan,1780.1,484,False
DR Congo,1773.4,523,False
Sweden,1770.6,1101,False
Iraq,1750.3,654,False
Tunisia,1744.6,677,False
New Zealand,1730.2,415,False
Haiti,1707.1,510,False
Saudi Arabia,1687.0,740,False
Cabo Verde,1683.2,234,False
South Africa,1652.4,479,False
Bosnia and Herzegovina,1646.2,282,False
Ghana,1626.3,671,False
Curaçao,1592.8,384,False
Qatar,1569.4,634,False
